case_id,chapter,t,date,summary,text,facts_json,next_options_json,created_at
carlos_latre,0,0,2018-01-01,"La popularidad de Carlos Latre sigue siendo un tema de debate, pero el contra-flujo comienza a ganar terreno.","La masa amplificadora sigue creciendo, pero el contra-flujo comienza a hacerse notar. Nadie confirma si Carlos Latre está al tanto de la situación, pero se rumorea que su equipo está trabajando en una nueva imitación para intentar revertir la tendencia.","[""El engagement ha disminuido ligeramente desde el inicio del fenómeno"",""El contagio sigue aumentando, pero a un ritmo más lento que antes""]","[""La masa amplificadora continúa creciendo y se pregunta si Carlos Latre será capaz de controlarla"",""El contra-flujo comienza a ganar terreno y se rumorea que el equipo de Carlos Latre está trabajando en una nueva estrategia""]",2025-12-22T16:52:52.085Z
carlos_latre,1,29,2018-01-30,El contra-flujo gana terreno y la masa amplificadora pierde interés,"La popularidad de Carlos Latre sigue siendo un tema de debate, pero el contra-flujo comienza a ganar terreno. La masa amplificadora parece estar perdiendo interés en sus imitaciones, y la resistencia al fenómeno colectivo está aumentando. Se rumorea que algunos miembros de la masa amplificadora están comenzando a cuestionar la influencia de Carlos Latre en la sociedad.","[""La popularidad de Carlos Latre sigue siendo un tema de debate"",""El contra-flujo comienza a ganar terreno""]","[""La masa amplificadora se divide en facciones rivales"",""Carlos Latre intenta reavivar su influencia con una nueva imitación""]",2025-12-22T16:53:04.680Z
carlos_latre,2,58,2018-02-28,"El fenómeno colectivo de Carlos Latre continúa evolucionando, con la masa amplificadora perdiendo interés y el contra-flujo aumentando su influencia.","La masa amplificadora, que había estado creciendo en interés por Carlos Latre, comienza a perder impulso. El contra-flujo, por otro lado, sigue ganando terreno y se convierte en el foco principal de atención.","[""La popularidad de Carlos Latre sigue siendo un tema de debate"",""El contra-flujo gana terreno y se convierte en el foco principal de atención""]","[""¿Qué consecuencias tendrá la creciente influencia del contra-flujo en la masa amplificadora?"",""¿Cómo reaccionará Carlos Latre a la pérdida de interés de la masa amplificadora?""]",2025-12-22T16:53:17.247Z
carlos_latre,3,87,2018-03-29,"La masa amplificadora vuelve a interesarse en Carlos Latre, pero el contra-flujo sigue siendo una fuerza importante.","La masa amplificadora, que había estado perdiendo interés en el fenómeno colectivo de Carlos Latre, parece estar experimentando un resurgimiento. Los números de engagement siguen siendo bajos, pero la pluralidad ha aumentado ligeramente en los últimos días. El contra-flujo sigue ganando terreno, pero a un ritmo más lento que antes.","[""La pluralidad ha aumentado ligeramente en los últimos días"",""El contra-flujo sigue ganando terreno, aunque a un ritmo más lento""]","[""La masa amplificadora continúa creciendo de interés"",""El contra-flujo logra revertir la tendencia y el fenómeno colectivo comienza a declinar""]",2025-12-22T16:53:31.093Z
carlos_latre,4,116,2018-04-27,"La situación se vuelve cada vez más compleja, con la masa amplificadora perdiendo interés y el contra-flujo ganando terreno.","La masa amplificadora vuelve a perder interés en Carlos Latre, pero el contra-flujo sigue creciendo. Se rumorea que algunos miembros de la masa amplificadora están empezando a cuestionar la influencia de Carlos Latre y su capacidad para crear monstruos simbólicos.","[""La masa amplificadora ha perdido el 30% de su interés en Carlos Latre desde el último capítulo."",""El contra-flujo ha aumentado un 20% en influencia desde la última semana.""]","[""La masa amplificadora decide abandonar a Carlos Latre y buscar nuevos objetivos."",""El contra-flujo logra infiltrarse en los canales de difusión de Carlos Latre.""]",2025-12-22T16:53:41.982Z
carlos_latre,5,146,2018-05-27,La situación se vuelve cada vez más compleja con la masa amplificadora perdiendo interés y el contra-flujo ganando terreno.,"La masa amplificadora vuelve a perder interés en Carlos Latre, pero el contra-flujo sigue siendo una fuerza importante. Se rumorea que algunos miembros de la masa amplificadora están comenzando a cuestionar la influencia de Carlos Latre y su impacto en la sociedad.","[""La masa amplificadora ha perdido el 30% de su interés en Carlos Latre desde el capítulo anterior."",""El contra-flujo ha aumentado su influencia en un 20% desde la última actualización.""]","[""La masa amplificadora decide lanzar una campaña para desacreditar a Carlos Latre."",""El contra-flujo organiza una manifestación para protestar por la influencia de Carlos Latre.""]",2025-12-22T16:53:52.856Z
carlos_latre,6,175,2018-06-25,La situación es cada vez más compleja y la masa amplificadora y el contra-flujo siguen luchando por influir en la opinión pública.,"La masa amplificadora, que había perdido interés en Carlos Latre, parece estar recuperando su atención. El contra-flujo, sin embargo, sigue siendo una fuerza importante y no se detiene.","[""La masa amplificadora ha recuperado interés en Carlos Latre."",""El contra-flujo sigue siendo una fuerza importante.""]","[""La masa amplificadora logra reavivar el interés de la gente por las imitaciones de Carlos Latre."",""El contra-flujo consigue desacreditar a Carlos Latre y hacer que la gente pierda interés en sus imitaciones.""]",2025-12-22T16:54:04.216Z
carlos_latre,7,204,2018-07-24,,"La masa amplificadora, que había perdido interés en Carlos Latre, comienza a mostrar signos de vida. Los ratings de su programa han disminuido, pero la audiencia leal sigue siendo fiel. Mientras tanto, el contra-flujo, que había estado ganando terreno, se enfrenta a una nueva oposición: los seguidores de Carlos Latre están comenzando a defenderlo en las redes sociales.

La situación es cada vez más compleja y la masa amplificadora y el contra-flujo siguen luchando por influir en la opinión pública. La pregunta es, ¿qué pasará cuando la audiencia se cansa de los imitadores y busca algo nuevo?

Facts:
* La masa amplificadora ha perdido interés en Carlos Latre.
* El contra-flujo sigue ganando terreno.
* Los seguidores de Carlos Latre están defendiéndolo en las redes sociales.

Next options:
* La audiencia se cansa de los imitadores y busca algo nuevo.
* La masa amplificadora recupera su interés en Carlos Latre.",[],[],2025-12-22T16:54:19.380Z
carlos_latre,8,233,2018-08-22,La situación es cada vez más compleja y la masa amplificadora y el contra-flujo siguen luchando por influir en la opinión pública.,"La masa amplificadora, que había perdido interés en Carlos Latre, parece estar recuperando su influencia. El contra-flujo, por otro lado, sigue ganando terreno y se rumorea que está a punto de alcanzar un punto de inflexión.","[""La masa amplificadora ha recuperado su interés en Carlos Latre"",""El contra-flujo sigue ganando terreno""]","[""La masa amplificadora logra revertir la tendencia del contra-flujo"",""El contra-flujo alcanza un punto de inflexión y cambia el curso de la situación""]",2025-12-22T16:54:30.739Z
carlos_latre,9,262,2018-09-20,"La batalla entre la masa amplificadora y el contra-flujo continúa, con Carlos Latre en el centro de la atención. La opinión pública sigue dividida sobre su influencia y legado.","La masa amplificadora sigue luchando por influir en la opinión pública, pero el contra-flujo se está haciendo cada vez más fuerte. Carlos Latre, el avatar de la situación, sigue siendo un tema de debate y controversia. Algunos lo ven como un genio del entretenimiento, mientras que otros lo critican por su supuesta influencia negativa en la sociedad.","[""La masa amplificadora ha lanzado una nueva campaña para defender a Carlos Latre"",""El contra-flujo ha presentado pruebas de supuesta corrupción de Carlos Latre""]","[""La masa amplificadora logra su objetivo y Carlos Latre es exonerado"",""El contra-flujo consigue demostrar la culpabilidad de Carlos Latre y se le impone una condena""]",2025-12-22T16:54:44.165Z
carlos_latre,10,292,2018-10-20,La situación es cada vez más compleja y la masa amplificadora y el contra-flujo siguen luchando por influir en la opinión pública.,"La batalla entre la masa amplificadora y el contra-flujo sigue siendo intensa. Carlos Latre, en el centro de la atención, continúa creando monstruos simbólicos con sus imitaciones. La opinión pública sigue dividida sobre su influencia y legado.","[""La masa amplificadora ha logrado un aumento de engagement del 0,1724765316645931% en las últimas 24 horas."",""El contra-flujo sigue siendo débil con un 0,18403670554491033% de influencia.""]","[""La masa amplificadora intenta aumentar su influencia a través de una nueva campaña publicitaria."",""El contra-flujo busca aliarse con otros colectivos estigmatizados para fortalecer su posición.""]",2025-12-22T16:54:57.365Z
carlos_latre,11,321,2018-11-18,"La situación es cada vez más compleja y la masa amplificadora y el contra-flujo siguen luchando por influir en la opinión pública. La división entre los dos grupos sigue siendo profunda, pero se rumorea que algunos sectores están comenzando a cuestionar la autenticidad de las imitaciones de Carlos Latre.","La batalla entre la masa amplificadora y el contra-flujo sigue siendo intensa. La opinión pública sigue dividida sobre la influencia de Carlos Latre, pero se rumorea que algunos sectores están comenzando a cuestionar la autenticidad de sus imitaciones.","[""La masa amplificadora sigue siendo la fuerza dominante en la batalla por la opinión pública."",""El contra-flujo sigue luchando para desacreditar a Carlos Latre y sus imitaciones.""]","[""La masa amplificadora intenta lanzar un nuevo ataque contra el contra-flujo."",""El contra-flujo logra desacreditar a Carlos Latre y sus imitaciones.""]",2025-12-22T16:55:11.581Z
